Voltage (V),Current (μA)
0.0,0.35021845248909506
0.01,0.03398517732931023
0.02,0.08949183816676295
0.03,0.22894284528597775
0.04,-0.19368156729555583
0.05,-0.06821822517986659
0.06,-0.3198700148842625
0.07,-0.19599465244490236
0.08,0.1448401784142505
0.09,0.18937591658494324
0.1,-0.7872801034058173
0.11,0.3911908159631611
0.12,-0.38683372157649665
0.13,-0.04240393072630974
0.14,-0.2953523437918914
0.15,-0.32666782262706107
0.16,-0.47775639325120206
0.17,-0.38296014340755363
0.18,-0.25957164612462247
0.19,-0.4517808996770997
0.2,-0.6344685965841368
0.21,-1.0049677541714765
0.22,-0.985918514376094
0.23,-1.276952325227398
0.24,-1.1827923471172272
0.25,-1.418356621478225
0.26,-1.379153208956316
0.27,-1.9726772839240443
0.28,-1.4679509538451117
0.29,-2.464254745998413
0.3,-2.2891261078684173
0.31,-2.3288415629584436
0.32,-2.9172257059198605
0.33,-2.9641651160186973
0.34,-3.325968436944996
0.35000000000000003,-3.137391882704824
0.36,-4.195784484138434
0.37,-3.736336627357285
0.38,-3.6118585355081905
0.39,-3.3437788506210593
0.4,-3.236778893097644
0.41000000000000003,-3.5053319127645586
0.42,-3.1004205227471227
0.43,-2.8480284706439156
0.44,-2.2027182003396897
0.45,-2.5310107629612943
0.46,-1.3630022321428128
0.47000000000000003,-1.1804965928174802
0.48,-0.8307614503000421
0.49,-0.37305311118332685
0.5,0.34779926994832955
0.51,0.4119871476549123
0.52,1.0050133757619
0.53,1.3954515671118675
0.54,1.7187630418588697
0.55,2.2739439947436555
0.56,2.443070769186471
0.5700000000000001,3.0711265540405472
0.58,3.201982409380427
0.59,3.255268686657827
0.6,3.1799886619379065
0.61,3.6253100920016004
0.62,3.249444567499582
0.63,3.517016228739455
0.64,3.2778730710221557
0.65,2.9600432887676034
0.66,2.570315745153569
0.67,2.9864960970543444
0.68,2.79289116265801
0.6900000000000001,2.221408304791491
0.7000000000000001,2.291125036646853
0.71,2.1845661177841964
0.72,1.6441893487533612
0.73,1.307160551293488
0.74,1.7531454454379116
0.75,0.8477870886233092
0.76,0.9755593674194833
0.77,0.7711932174531949
0.78,0.8187895274360002
0.79,0.8917617702016206
0.8,0.3224942129509305
0.81,0.3455602018072056
0.8200000000000001,0.6410180891102868
0.8300000000000001,0.34173118784807177
0.84,0.2603015136627697
0.85,0.3071522809089885
0.86,-0.2141592666344513
0.87,0.03236480303794946
0.88,0.45755189067444996
0.89,0.24390427732107525
0.9,-0.22999651948172545
0.91,-0.08284844108265933
0.92,0.08405732507936894
0.93,-0.13474470795710022
0.9400000000000001,0.024584983479671564
0.9500000000000001,0.13973252777384068
0.96,0.09001218927835912
0.97,-0.11225618219264995
0.98,0.16580570908358022
0.99,0.2074884099535103
1.0,0.021135991508785652
